player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s,cluster_abs,cluster_res,stability_abs,stability_res
Chez Reavie,151,0.09403973509933775,0.1103973509933775,0.32165562913907286,-0.13649006622516555,-0.23006622516556294,0.6357615894039735,1,16,0,2,0.955,0.88
Chris Baker,29,-0.47655172413793107,0.26586206896551723,0.044137931034482755,-0.10172413793103448,-0.6848275862068965,0.4482758620689655,0,0,0,2,0.655,0.96
Chris Kirk,132,0.1636363636363636,0.02393939393939394,0.24462121212121213,0.15992424242424244,-0.25,0.696969696969697,0,15,0,2,0.935,0.92
Chris Stroud,117,-0.9034188034188034,-0.33683760683760683,-0.23162393162393163,-0.02606837606837607,-0.32529914529914533,0.42735042735042733,0,5,2,3,0.785,0.695
Chris Thompson,16,-1.16875,-0.11874999999999998,-0.5875,-0.0975,-0.363125,0.3125,0,0,1,1,0.785,0.75
Christiaan Bezuidenhout,30,0.5903333333333334,-0.22466666666666668,0.23566666666666666,0.131,0.517,0.8,0,1,2,3,0.83,0.875
Cody Gribble,68,-1.2110294117647058,-0.39779411764705885,-0.6257352941176472,-0.1686764705882353,-0.01882352941176471,0.39705882352941174,1,2,3,1,0.375,0.8
Collin Morikawa,57,0.9673684210526315,0.3907017543859649,0.8340350877192982,-0.02929824561403509,-0.22649122807017544,0.8596491228070176,3,20,0,2,0.95,0.925
Colt Knost,53,-0.49471698113207546,-0.14471698113207548,-0.34358490566037736,-0.30679245283018863,0.30056603773584906,0.49056603773584906,0,3,2,0,0.545,0.575
Corey Conners,105,0.27799999999999997,0.5459047619047619,0.3916190476190476,-0.1706666666666667,-0.4564761904761905,0.7333333333333333,1,11,0,2,0.935,0.92
Curtis Luck,29,-1.3306896551724139,-0.48724137931034484,-0.786551724137931,-0.1382758620689655,0.08137931034482758,0.3448275862068966,0,1,3,1,0.43,0.77
Curtis Thompson,15,-0.8133333333333334,0.17066666666666663,-0.5466666666666667,-0.214,-0.09933333333333333,0.4,0,0,1,1,0.875,0.57
D.A. Points,98,-1.2234693877551022,-0.838469387755102,-0.14091836734693877,-0.05775510204081631,-0.20448979591836733,0.336734693877551,0,1,2,3,0.72,0.99
D.J. Trahan,59,-0.968813559322034,-0.12932203389830507,-0.02474576271186441,-0.14745762711864407,-0.6486440677966102,0.3898305084745763,0,3,1,2,0.575,0.985
Daniel Berger,131,0.7077099236641221,0.27999999999999997,0.4162595419847328,-0.07114503816793893,0.08106870229007634,0.7862595419847328,4,32,0,0,0.905,0.46
Daniel Chopra,14,-1.8592857142857144,-0.87,-0.7428571428571429,0.031428571428571424,-0.27499999999999997,0.21428571428571427,0,0,3,3,0.615,0.805
Daniel Summerhays,73,-0.44219178082191785,-0.32260273972602743,-0.44780821917808217,-0.1736986301369863,0.5009589041095891,0.684931506849315,0,5,2,1,0.795,0.685
Danny Lee,171,-0.5973099415204678,-0.14789473684210525,-0.09280701754385966,-0.20116959064327486,-0.1807017543859649,0.5497076023391813,0,15,1,0,0.685,0.695
Danny Willett,63,-0.6414285714285715,-0.16380952380952382,-0.22603174603174603,0.024603174603174606,-0.2768253968253968,0.5238095238095238,0,2,2,3,0.785,0.535
David Hearn,126,-0.4518253968253968,-0.3038095238095238,-0.0007142857142856991,-0.08103174603174604,-0.07801587301587301,0.48412698412698413,0,6,2,3,0.91,0.76
David Lingmerth,89,-0.4358426966292135,-0.10269662921348316,-0.16865168539325842,-0.06449438202247192,-0.0989887640449438,0.5617977528089888,1,5,2,0,0.725,0.565
David Lipsky,27,-0.18037037037037035,-0.2903703703703704,0.17222222222222225,0.07481481481481482,-0.18407407407407408,0.7037037037037037,0,3,2,3,0.73,0.64
Davis Love III,63,-1.301904761904762,-0.1838095238095238,-0.41698412698412696,-0.1707936507936508,-0.5173015873015873,0.4126984126984127,1,3,1,2,0.8,0.385
Davis Riley,26,0.10115384615384622,0.14500000000000002,-0.16346153846153846,-0.09538461538461537,0.02076923076923078,0.6923076923076923,0,4,2,0,0.395,0.86
Davis Thompson,11,-0.3227272727272727,-0.09545454545454542,0.3281818181818182,-0.034545454545454546,-0.5081818181818182,0.5454545454545454,0,0,0,2,0.875,0.985
Denny McCarthy,107,0.10336448598130842,-0.09242990654205609,-0.4085046728971963,0.06644859813084113,0.5259813084112149,0.616822429906542,0,10,2,1,0.91,0.83
Derek Ernst,46,-1.2823913043478259,0.31869565217391305,-0.8130434782608695,-0.1358695652173913,-0.6526086956521739,0.34782608695652173,0,0,1,1,0.79,0.645
Derek Fathauer,87,-1.2324137931034482,-0.6309195402298851,-0.4924137931034483,-0.18344827586206897,0.07459770114942528,0.47126436781609193,0,1,3,3,0.39,0.77
Doc Redman,72,-0.22277777777777777,0.1315277777777778,0.17527777777777775,-0.33069444444444446,-0.25486111111111115,0.5833333333333334,0,5,1,2,0.49,0.67
Dominic Bozzelli,72,-1.0745833333333334,-0.4791666666666667,-0.6620833333333334,-0.12055555555555555,0.18736111111111114,0.4861111111111111,0,5,2,1,0.565,0.7
Doug Ghim,62,-0.2062903225806452,0.03161290322580646,0.11080645161290323,0.09451612903225808,-0.4625806451612903,0.5806451612903226,0,2,0,2,0.88,0.98
Dustin Johnson,108,1.3597222222222223,0.7305555555555556,0.41962962962962963,0.05305555555555555,0.1635185185185185,0.8611111111111112,12,51,0,0,0.91,0.555
Dylan Frittelli,91,-0.20164835164835165,0.04846153846153845,-0.12417582417582416,0.0856043956043956,-0.2467032967032967,0.6263736263736264,1,5,0,2,0.65,0.43
Dylan Meyer,13,-1.1015384615384618,-0.15846153846153846,-0.27076923076923076,-0.48615384615384616,-0.18615384615384611,0.46153846153846156,0,0,1,0,0.91,0.94
Dylan Wu,15,-0.3013333333333333,-0.21066666666666667,-0.3653333333333333,-0.16666666666666666,0.19933333333333333,0.5333333333333333,0,0,2,1,0.775,0.595
Emiliano Grillo,120,0.10508333333333332,0.3469166666666667,0.38883333333333336,-0.2603333333333333,-0.35866666666666663,0.7,0,10,0,2,0.94,0.89
Eric Axley,27,-1.7796296296296295,-0.8614814814814814,-0.46777777777777774,-0.32037037037037036,-0.12814814814814815,0.2962962962962963,0,0,3,3,0.6,0.925
Erik Compton,37,-1.259189189189189,-0.5032432432432433,-0.41594594594594597,-0.1345945945945946,-0.20486486486486485,0.40540540540540543,0,0,3,3,0.405,0.89
